January 2026 NDC - HCPCS  Crosswalk for Medicare Part B Drugs,,,,,,,,,
"Effective January 1, 2026 through March 31, 2026",,,,,,,,,
,,,,,,,,,
The ASP crosswalks are maintained by the Division of Data Analysis and Market Based Pricing to support ASP-based Medicare Part B payments only. The crosswalks are intended to help the public (including entities that submit manufacturer ASP data and providers who bill for drugs) understand which drug products (identified by NDCs) are assigned to which HCPCS billing codes. The crosswalks are not intended to be a comprehensive list of all drugs/NDCs available in the United States. The NDC to HCPCS Crosswalk also includes information on the NDC package size and the number of billable units (as defined by the HCPCS code descriptor). Comments on the file may be sent to sec303aspdata@cms.hhs.gov.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Descriptor,LABELER NAME,NDC,DRUG NAME,HCPCS DOSAGE,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
90653,Iiv adjuvant vaccine im,Seqirus Inc,70461-0024-03,Fluad Trivalent (2024/2025) Preservative Free,0.5 ML,0.5,10,1,10
90656,IIV3 VACC NO PRSV 0.5 ML IM,Seqirus Inc,33332-0024-03,Afluria Trivalent (2024/2025) Preservative Free,0.5 ML,0.5,10,1,10
90656,IIV3 VACC NO PRSV 0.5 ML IM,GlaxoSmithKline,19515-0810-52,FluLaval Trivalent (2024/2025) Preservative Free,0.5 ML,0.5,10,1,10
90656,IIV3 VACC NO PRSV 0.5 ML IM,GlaxoSmithKline,58160-0884-52,Fluvarix Trivalent (2024/2025) Preservative Free,0.5 ML,0.5,10,1,10
90656,IIV3 VACC NO PRSV 0.5 ML IM,Sanofi Pasteur,49281-0424-50,Fluzone Trivalent (2024/2025) Preservative Free,0.5 ML,0.5,10,1,10
90657,IIV3 VACCINE SPLT 0.25 ML IM,Seqirus Inc,33332-0124-10,Afluria Trivalent (2024/2025),0.25 ML,5,1,20,20
90657,IIV3 VACCINE SPLT 0.25 ML IM,Sanofi Pasteur,49281-0641-15,Fluzone Trivalent (2024/2025) ,0.25 ML,5,1,20,20
90658,IIV3 VACCINE SPLT 0.5 ML IM,Seqirus Inc,33332-0124-10,Afluria Trivalent (2024/2025),0.5 ML,5,1,10,10
90658,IIV3 VACCINE SPLT 0.5 ML IM,Sanofi Pasteur,49281-0641-15,Fluzone Trivalent (2024/2025) ,0.5 ML,5,1,10,10
90660,LAIV3 Vaccine Intranasal,MedImmune,66019-0311-10,FluMist Trivalent (2024/2025),0.2 ML,0.2,10,1,10
90661,CCIIV3 VACCINE ABX FR 0.5ML IM,Seqirus Inc,70461-0554-10,Flucelvax Trivalent (2024/2025),0.5 ML,5,1,10,10
90661,CCIIV3 VACCINE ABX FR 0.5ML IM,Seqirus Inc,70461-0654-03,Flucelvax Trivalent (2024/2025) Preservative Free,0.5 ML,0.5,10,1,10
90662,Iiv no prsv increased ag im,Sanofi Pasteur,49281-0123-65,Fluzone High-Dose Quadrivalent (2023/2024) (Preservative Free),0.7 ML,0.7,10,1,10
90662,Iiv no prsv increased ag im,Sanofi Pasteur,49281-0124-65,Fluzone High-Dose (2024/2025) Preservative Free,0.5 ML,0.5,10,1,10
90670,PCV13 Vaccine IM,Wyeth/Pfizer U.S.,00005-1971-02,Prevnar - 13,0.5 ML,0.5,10,1,10
90670,PCV13 Vaccine IM,Wyeth/Pfizer U.S.,00005-1971-05,Prevnar - 13,0.5 ML,0.5,1,1,1
90671,PCV15 VACCINE IM,Merck,00006-4329-02,Vaxneuvance,1 EA,0.5,1,1,1
90671,PCV15 VACCINE IM,Merck,00006-4329-03,Vaxneuvance,1 EA,0.5,10,1,10
90672,Laiv4 vaccine intranasal,"MedImmune, LLC",66019-0310-10,FluMist Quadrivalent (2023/2024),0.2 ML,0.2,10,1,10
90673,Riv3 vaccine no preserv im,Sanofi Pasteur,49281-0724-10,Flublok Trivalent (2024/2025) Preservative free,0.5 ML,0.5,10,1,10
90674,CCIIV4 VAC NO PRSV 0.5 ML IM,Seqirus Inc,70461-0323-03,Flucelvax Quadrivalent (2023/2024) (Preservative Free),0.5 ML,0.5,10,1,10
90677,PCV20 VACCINE IM,Pfizer,00005-2000-02,PREVNAR 20 ,1 EA,0.5,1,1,1
90677,PCV20 VACCINE IM,Pfizer,00005-2000-10,PREVNAR 20 ,1 EA,0.5,10,1,10
90682,RIV4 VACC RECOMBINANT DNA IM,Sanofi Pasteur,49281-0723-10,Flublok Quadrivalent (2023/2024) (Preservative free),0.5 ML,0.5,10,1,10
90684,PCV21 VACCINE IM,Merck,00006-4347-01,Capvaxive,1 EA,0.5,1,1,1
90684,PCV21 VACCINE IM,Merck,00006-4347-02,Capvaxive,1 EA,0.5,10,1,10
90685,IIV4 VACC NO PRSV 0.25 ML IM,Seqirus Inc,33332-0323-03,Afluria Quadrivalent 0.25ml (2023/2024) (Pres Free),0.25 ML,0.25,10,1,10
90686,IIV4 VACC NO PRSV 0.5 ML IM,GlaxoSmithKline,58160-0909-52,Fluarix Quadrivalent (2023/2024) (Preservative free),0.5 ML,0.5,10,1,10
90686,IIV4 VACC NO PRSV 0.5 ML IM,GlaxoSmithKline,19515-0814-52,Flulaval Quadrivalent (2023/2024) (Preservative free),0.5 ML,0.5,10,1,10
90686,IIV4 VACC NO PRSV 0.5 ML IM,Sanofi Pasteur,49281-0423-50,Fluzone Quadrivalent  (2023/2024) (Preservative Free),0.5 ML,0.5,10,1,10
90686,IIV4 VACC NO PRSV 0.5 ML IM,Seqirus Inc,33332-0323-03,Afluria Quadrivalent (2023/2024) (Preservative Free),0.5 ML,0.5,10,1,10
90687,IIV4 VACCINE SPLT 0.25 ML IM,Sanofi Pasteur,49281-0639-15,Fluzone Quadrivalent  0.25 mL (2023/2024),0.25 ML,5,1,20,20
90687,IIV4 VACCINE SPLT 0.25 ML IM,Seqirus Inc,33332-0423-10,Afluria Quadrivalent 0.25ml (2023/2024),0.25 ML,5,1,20,20
90688,IIV4 VACCINE SPLT 0.5 ML IM,Sanofi Pasteur,49281-0639-15,Fluzone Quadrivalent  (2023/2024) ,0.5 ML,5,1,10,10
90688,IIV4 VACCINE SPLT 0.5 ML IM,Seqirus Inc,33332-0423-10,Afluria Quadrivalent (2023/2024),0.5 ML,5,1,10,10
90694,VACC AIIV4 NO PRSRV 0.5ML IM,Seqirus Inc,70461-0123-03,Fluad Quadrivalent (2023/2024)(Preservative Free),0.5 ML,0.5,10,1,10
90732,PPSV23 VACC 2 YRS+ SUBQ/IM,Merck,00006-4739-00,Pneumovax 23,0.5 ML,2.5,1,5,5
90732,PPSV23 VACC 2 YRS+ SUBQ/IM,Merck,00006-4837-02,Pneumovax 23,0.5 ML,0.5,1,1,1
90732,PPSV23 VACC 2 YRS+ SUBQ/IM,Merck,00006-4837-03,Pneumovax 23,0.5 ML,0.5,10,1,10
90732,PPSV23 VACC 2 YRS+ SUBQ/IM,Merck,00006-4943-00,Pneumovax 23,0.5 ML,0.5,10,1,10
90732,PPSV23 VACC 2 YRS+ SUBQ/IM,A-S MEDICATION SOLUTIONS LLC,50090-7036-00,Pneumovax 23,0.5 ML,0.5,10,1,10
90739,HEPB VACC 2 DOSE ADULT IM,Dynavax Technologies Co,43528-0002-05,Heplisav-B,1 DOSE,0.5,5,1,5
90739,HEPB VACC 2 DOSE ADULT IM,Dynavax Technologies Co,43528-0003-05,Heplisav-B,1 DOSE,0.5,5,1,5
90740,HEPB VACC 3 DOSE IMMUNSUP IM,Merck,00006-4992-00,Recombivax Hb,40 MCG,1,1,1,1
