January 2026 OPPS NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective January 1, 2026 through March 1, 2026",,,,,,,,,
,,,,,,,,,
The ASP crosswalks are maintained by the Division of Data Analysis and Market Based Pricing to support ASP-based Medicare Part B payments only. The crosswalks are intended to help the public (including entities that submit manufacturer ASP data and providers who bill for drugs) understand which drug products (identified by NDCs) are assigned to which HCPCS billing codes. The crosswalks are not intended to be a comprehensive list of all drugs/NDCs available in the United States. The NDC to HCPCS Crosswalk also includes information on the NDC package size and the number of billable units (as defined by the HCPCS code descriptor). Comments on the file may be sent to sec303aspdata@cms.hhs.gov.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
_2026_CODE,Short Descriptor,LABELER NAME,NDC or ALTERNATE ID,Drug Name,HCPCS Dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
90396,Varicella-zoster ig im,Kamada Ltd.,49591-0126-51,Varizig,125 IU,1.2,1,1,1
90396,Varicella-zoster ig im,Kamada Ltd.,70257-0126-51,Varizig ,125 IU,1.2,1,1,1
A9506,Tc-99m graphite crucible,Cyclomedica Australia PTY Limited,73814-0986-20,Technegas,EACH,1,50,50,50
A9513,Lutetium Lu 177 dotatat ther,"Advanced Accelerator Applications USA, Inc.",69488-0003-01,Lutathera,1 mCi,20,1,200,200
A9521,Tc99m exametazime,"Jubilant Draximage Inc., dba Jubilant Radiopharma",65174-0200-05,Technetium TC-99M Exametazime,"Per Study Dose, up to 25 millicuries",1,1,1,1
A9543,"Y90 ibritumomab, rx",Acrotech Biopharma LLC,72893-0007-04,Zevalin Y-91,UP TO 40 millicuries,1,1,1,1
A9582,Iodine I-123 iobenguane,GE Healthcare Inc.,17156-0235-01,Adreview,UP TO 15 millicuries,5,1,1,1
A9584,Iodine I-123 ioflupane,GE Healthcare Inc.,17156-0210-01,Datscan,"Per Study Dose, up to 5 millicuries",2.5,1,1,1
A9587,Gallium Ga-68,"Advanced Accelerator Applications USA, Inc.",69488-0001-40,Netspot,0.1 mCi,1,1,1,1
A9588,Fluciclovine F-18,Blue Earth Diagnostics Limited,69932-0001-01,Axumin,1 mCi,1,1,1,1
A9591,Fluoroestradiol F 18,GE Healthcare Inc.,72874-0001-01,Cerianna,1 mCi,50,1,6,6
A9592,Copper cu 64 dotatate diag,Curium US LLC,69945-0064-01,Detectnet,1 mCi,4,1,4,4
A9593,Gallium ga-68 psma-11 ucsf,UCSF Radiopharmaceutical Facility,24275-0525-01,Gallium Ga 68 PSMA ,1 mCi,11,1,1,1
A9594,"Gallium ga-68 psma-11, ucla",UCLA Biomedical Cyclotron,76394-2642-03,Gallium Ga 68 PSMA ,1 mCi,12,1,1,1
A9595,"Piflu f-18, dia 1 millicurie","Progenics Pharmaceuticals, Inc.",71258-0022-00,Pylarify,1 millicurie,1,1,9,9
A9595,"Piflu f-18, dia 1 millicurie","Progenics Pharmaceuticals, Inc.",71258-0022-01,Pylarify,1 mCi,50,1,1,1
A9596,Gallium illuccix 1 millicure,Telix Pharmaceuticals US Inc.,74725-0100-25,Illuccix,1 mCi,1,1,1,1
A9596,Gallium illuccix 1 millicure,Telix Pharmaceuticals US Inc.,74725-0100-64,Illuccix,1 mCi,1,1,1,1
A9600,Sr89 strontium,Q Biomed Inc,72928-0089-01,Strontium Chloride Sr 89,PER MILLICURIE,4,1,1,4
A9601,Flortaucipir inj 1 millicuri,Eli Lilly and Company,00002-1220-01,Tauvid,1 mCi,1,1,1,1
A9602,Fluorodopa f-18 diag per mci,The Feinstein Institute for Medical Research,13267-0346-57,Fluorodopa F18,1 mCi,1,1,1,1
A9606,Radium Ra223 dichloride ther,Bayer HealthCare Pharmaceuticals Inc.,50419-0208-01,Xofigo,1 mCi,6,1,1,1
A9607,Lutetium lu 177 vipivotide,"Advanced Accelerator Applications USA, Inc.",69488-0010-61,Pluvicto,1 mCi,1,1,1,1
A9608,Flotufolastat f18 diag 1 mci,Blue Earth Diagnostics Limited,69932-0002-01,Posluma,1 mCi,1,1,1,8
A9608,Flotufolastat f18 diag 1 mci,Blue Earth Diagnostics Limited,69932-0002-50,Posluma,1 millicurie,25,1,1,1
A9611,"Flurpiridaz f18, diag, 1 mci",GE Healthcare Inc.,00407-8787-01,Flyrcado,1 mCi,1,1,1,1
A9615,"Inj, pegulicianine, 1 mg","Lumicell, Inc.",82292-0040-10,Lumisight,1 MG,1,10,39,390
A9616,Gallium gozellix 1 millicuri,Telix Innovations SA,84552-0500-25,Gozellix,1 MCI,1,1,1,1
A9616,Gallium gozellix 1 millicuri,Telix Innovations SA,84552-0500-64,Gozellix,1 MCI,1,1,1,1
A9697,"Inj, magtrace per study dose",Endomagnetics Inc.,60391-021024,Magtrace,PER STUDY DOSE,2,10,1,10
A9800,Gallium locametz 1 millicuri,"Advanced Accelerator Applications USA, Inc.",69488-0017-61,Locametz,1 mCi,1,1,1,1
C9047,"Injection, caplacizumab-yhdp",Genzyme Corporation,58468-0225-01,Cablivi,1 MG,1,1,11,11
C9145,"Inj, aponvie, 1 mg",Heron Therapeutics,47426-0401-10,Aponvie,1 MG,4.4,10,32,320
C9250,Artiss fibrin sealant,Baxter Healthcare Corporation,00338-9637-01,Artiss,2 ML,2,1,1,1
C9250,Artiss fibrin sealant,Baxter Healthcare Corporation,00338-9639-01,Artiss,2 ML,4,1,2,2
C9250,Artiss fibrin sealant,Baxter Healthcare Corporation,00338-9641-01,Artiss,2 ML,10,1,5,5
C9257,Bevacizumab injection,"Genentech, Inc.",50242-0060-01,Avastin,0.25 MG,4,1,400,400
C9257,Bevacizumab injection,"Genentech, Inc.",50242-0061-01,Avastin,0.25 MG,16,1,1600,1600
C9293,"Injection, glucarpidase",BTG International Inc.,50633-0210-11,Voraxaze,10 UNITS,1,1,100,100
C9307,Inj linvoseltamab-gcpt 1 mg,"Regeneron Pharmaceuticals, Inc.",61755-0054-01,Lynozyfic,1 MG,2.5,1,5,5
C9307,Inj linvoseltamab-gcpt 1 mg,"Regeneron Pharmaceuticals, Inc.",61755-0056-01,Lynozyfic,1 MG,10,1,200,200
C9308,"Inj, carboplatin (avyxa)","Avyxa Pharma, LLC",83831-0140-02,Kyxata,1 MG,2,1,20,20
C9308,"Inj, carboplatin (avyxa)","Avyxa Pharma, LLC",83831-0141-08,Kyxata,1 MG,8,1,80,80
C9308,"Inj, carboplatin (avyxa)","Avyxa Pharma, LLC",83831-0142-50,Kyxata,1 MG,50,1,500,500
C9460,"Injection, cangrelor","Chiesi USA, Inc.",10122-0620-10,Kengreal,1 MG,1,10,50,500
C9482,Sotalol hydrochloride IV,"Altathera Pharmaceuticals, LLC",69724-0112-10,Sotalol,1 MG,10,1,150,150
J0184,"Inj, amisulpride, 1 mg",Acacia Pharma Ltd,71390-0125-20,Barhemsys,1 MG,2,10,5,50
J0184,"Inj, amisulpride, 1 mg",Acacia Pharma Ltd,71390-0125-50,Barhemsys,1 MG,4,10,10,100
J0208,"Inj, pedmark, 100 mg","Fennec Pharmaceuticals, Inc.",73077-0010-01,Sodium Thiosulfate,100 MG,100,1,125,125
J0209,"Inj, sod thiosulfate (hope)",Hope Pharmaceuticals,60267-0705-50,Sodium Thiosulfate (Hope),100 MG,50,1,125,125
J0211,"Inj, nithiodote, 3mg / 125mg",Hope Pharmaceuticals,60267-0812-00,Nithiodote,3 MG AND 125 MG,60,1,100,100
J0391,"Inj, artesunate, 1mg","Amivas, Inc",73607-0011-11,Artesunate,1 MG,1,2,110,220
J0567,"Inj., cerliponase alfa 1 mg",BioMarin Pharmaceutical Inc.,68135-0811-02,Brineura,1 MG,1,2,150,300
J0606,"Inj, etelcalcetide, 0.1 mg",Amgen Inc,55513-0740-10,Parsabiv,0.1 MG,0.5,10,25,250
J0606,"Inj, etelcalcetide, 0.1 mg",Amgen Inc,55513-0741-10,Parsabiv,0.1 MG,1,10,50,500
J0606,"Inj, etelcalcetide, 0.1 mg",Amgen Inc,55513-0742-10,Parsabiv,0.1 MG,2,10,100,1000
J0654,"Inj, liothyronine, 1 mcg","XGen Pharmaceuticals DJB, Inc.",39822-0151-01,Liothyronine Sodium,1 MCG,1,1,10,10
J0668,"Instill, bupivac and meloxic",Heron Therapeutics,47426-0301-02,Zynrelef,1 MG - 0.03 MG,14,1,400,400
J0668,"Instill, bupivac and meloxic",Heron Therapeutics,47426-0303-01,Zynrelef,1 MG - 0.03 MG,7,1,200,200
J0668,"Instill, bupivac and meloxic",Heron Therapeutics,47426-0501-02,Zynrelef,1 MG - 0.03 MG,14,1,400,400
J0668,"Instill, bupivac and meloxic",Heron Therapeutics,47426-0503-01,Zynrelef,1 MG - 0.03 MG,7,1,200,200
J0675,"Inj, carboprost, 0.1 mg",Pfizer Inc,00009-0856-08,Hemabate,0.1 MG,1,10,2.5,25
J0675,"Inj, carboprost, 0.1 mg",Pfizer Inc,00409-0064-10,Carboprost Tromethamine,0.1 MG,1,10,2.5,25
