HCPCS Code,Short Descriptor,LABELER NAME,NDC,DRUG NAME,HCPCS DOSAGE,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
J0738,"Hiv prep, inj, lenacapavir",Gilead Sciences INC.,61958-3402-01,Yeztugo,1 MG,1.5,2,463.5,927
J0739,"Hiv prep, cabotegravir, 1mg",VIIV HEALTHCARE,49702-0264-23,Apretude,1 MG,3,1,600,600
J0750,"Hiv prep, ftc/tdf 200/300mg",A-S Medication Solutions,50090-6494-01,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",American Health Packaging,60687-0719-25,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Amneal Pharmaceuticals LLC,69238-2095-03,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Aurobindo Pharma Limited,65862-0354-30,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Avkare,42291-0439-30,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Camber Pharmaceuticals Inc.,31722-0560-30,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Exelan Pharmaceuticals Inc,76282-0677-30,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Golden State Medical Supply Inc,51407-0112-30,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Laurus Labs Limited,42385-0953-30,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Laurus Labs Limited,42385-0953-90,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,90,1,90,90
J0750,"Hiv prep, ftc/tdf 200/300mg",MacLeods Pharmaceuticals Limited,33342-0106-07,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Major Pharmaceuticals,00904-7172-07,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Mylan Pharmaceuticals Inc.,00378-1930-93,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Northstar RxLLC,16714-0534-01,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Quallent Pharmaceuticals LLC,82009-0109-30,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Cipla USA,69097-0741-02,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
J0750,"Hiv prep, ftc/tdf 200/300mg",Lupin Pharmaceuticals Inc,68180-0287-06,Emtricitabine/Tenofovir disoproxil fumarate,200 MG/300 MG,30,1,30,30
